,Open,High,Low,Close,Adj Close,Volume
2021-12-30 07:00:00+00:00,46926.12109375,47092.36328125,46872.40625,47024.56640625,47024.56640625,83324928
2021-12-30 08:00:00+00:00,47020.0234375,47171.47265625,46822.97265625,46824.17578125,46824.17578125,0
2021-12-30 09:00:00+00:00,46786.328125,46979.57421875,46750.3203125,46768.36328125,46768.36328125,0
2021-12-30 10:00:00+00:00,46736.1796875,46963.28125,46736.1796875,46952.6953125,46952.6953125,34340864
2021-12-30 11:00:00+00:00,46964.1484375,47569.375,46887.9609375,47569.375,47569.375,671539200
2021-12-30 12:00:00+00:00,47540.0546875,47689.9609375,47398.30859375,47579.3203125,47579.3203125,0
2021-12-30 13:00:00+00:00,47537.9296875,47562.578125,47333.37109375,47348.3671875,47348.3671875,0
2021-12-30 14:00:00+00:00,47331.71484375,47408.51171875,47193.953125,47367.58203125,47367.58203125,0
2021-12-30 15:00:00+00:00,47428.3515625,47501.4375,47210.3125,47210.3125,47210.3125,0
2021-12-30 16:00:00+00:00,47171.85546875,47608.68359375,47123.90625,47577.69140625,47577.69140625,305883136
2021-12-30 17:00:00+00:00,47583.9921875,47715.78515625,47507.58203125,47651.87890625,47651.87890625,193572864
2021-12-30 18:00:00+00:00,47663.41796875,47855.703125,47531.265625,47855.703125,47855.703125,0
2021-12-30 19:00:00+00:00,47841.5390625,47879.96484375,47576.39453125,47576.39453125,47576.39453125,0
2021-12-30 20:00:00+00:00,47584.6640625,47723.69140625,47169.38671875,47169.38671875,47169.38671875,0
2021-12-30 21:00:00+00:00,47285.39453125,47370.2265625,47096.4453125,47286.2265625,47286.2265625,67063808
2021-12-30 22:00:00+00:00,47325.75,47351.88671875,46821.1484375,47009.39453125,47009.39453125,0
2021-12-30 23:00:00+00:00,47056.4375,47237.81640625,47004.9375,47183.56640625,47183.56640625,0
2021-12-31 00:00:00+00:00,47169.37109375,47358.46484375,46922.5078125,47155.56640625,47155.56640625,0
2021-12-31 01:00:00+00:00,47103.32421875,47284.734375,46875.94140625,47169.83203125,47169.83203125,0
2021-12-31 02:00:00+00:00,47078.6796875,47115.58984375,46865.61328125,47013.4765625,47013.4765625,10761068544
2021-12-31 03:00:00+00:00,47013.44140625,47241.63671875,47003.38671875,47239.15234375,47239.15234375,68685824
2021-12-31 04:00:00+00:00,47240.10546875,47375.21875,47191.515625,47358.14453125,47358.14453125,83292160
2021-12-31 05:00:00+00:00,47357.84765625,47379.05859375,47243.92578125,47321.265625,47321.265625,0
2021-12-31 06:00:00+00:00,47316.95703125,47435.5390625,47198.0546875,47397.1484375,47397.1484375,113721344
2021-12-31 07:00:00+00:00,47387.5234375,47424.2890625,46915.42578125,47017.41015625,47017.41015625,113147904
2021-12-31 08:00:00+00:00,47049.75,48384.10546875,47049.75,48326.53515625,48326.53515625,2587512832
2021-12-31 09:00:00+00:00,48331.34375,48470.1640625,48253.078125,48264.33203125,48264.33203125,485154816
2021-12-31 10:00:00+00:00,48258.52734375,48421.30078125,48185.58984375,48185.58984375,48185.58984375,0
2021-12-31 11:00:00+00:00,48168.76171875,48174.04296875,47994.19921875,47994.19921875,47994.19921875,0
2021-12-31 12:00:00+00:00,48002.95703125,48090.84765625,47933.98828125,48000.25390625,48000.25390625,653238272
2021-12-31 13:00:00+00:00,47990.421875,48063.875,47944.32421875,47961.11328125,47961.11328125,0
2021-12-31 14:00:00+00:00,47953.66796875,48089.25,47904.49609375,48048.8046875,48048.8046875,69435392
2021-12-31 15:00:00+00:00,48032.4765625,48083.32421875,47915.015625,47917.765625,47917.765625,0
2021-12-31 16:00:00+00:00,47968.5703125,48066.109375,47602.703125,47602.703125,47602.703125,0
2021-12-31 17:00:00+00:00,47531.90625,47564.296875,47014.65234375,47054.30859375,47054.30859375,383520768
2021-12-31 18:00:00+00:00,47056.73046875,47066.53125,46706.47265625,46711.8046875,46711.8046875,0
2021-12-31 19:00:00+00:00,46714.72265625,46714.72265625,45894.7109375,45894.7109375,45894.7109375,916097024
2021-12-31 20:00:00+00:00,45819.953125,46164.0078125,45819.953125,46005.3359375,46005.3359375,854394880
2021-12-31 21:00:00+00:00,45973.98828125,46407.80859375,45945.4453125,46298.36328125,46298.36328125,2313248768
2021-12-31 22:00:00+00:00,46300.8515625,46513.9296875,46300.8515625,46406.58984375,46406.58984375,142417920
2021-12-31 23:00:00+00:00,46361.1171875,46486.14453125,46328.94140625,46328.94140625,46328.94140625,0
2022-01-01 00:00:00+00:00,46311.74609375,46726.55859375,46288.484375,46726.55859375,46726.55859375,677740544
2022-01-01 01:00:00+00:00,46723.66796875,46888.29296875,46650.3515625,46788.546875,46788.546875,56967168
2022-01-01 02:00:00+00:00,46798.84375,46914.19921875,46792.6796875,46830.48828125,46830.48828125,0
2022-01-01 03:00:00+00:00,46836.5,46861.91015625,46800.7421875,46833.10546875,46833.10546875,0
2022-01-01 04:00:00+00:00,46831.1484375,46878.140625,46703.1640625,46778.796875,46778.796875,81956864
2022-01-01 05:00:00+00:00,46743.33984375,47462.5234375,46715.87890625,47236.76171875,47236.76171875,817860608
2022-01-01 06:00:00+00:00,47238.9375,47264.80859375,47072.66796875,47092.64453125,47092.64453125,0
2022-01-01 07:00:00+00:00,47034.87890625,47141.4765625,46981.921875,47137.828125,47137.828125,0
2022-01-01 08:00:00+00:00,47180.33203125,47276.17578125,47117.11328125,47163.0859375,47163.0859375,0
2022-01-01 09:00:00+00:00,47165.09375,47180.2890625,47007.69140625,47070.88671875,47070.88671875,0
2022-01-01 10:00:00+00:00,47075.671875,47199.9140625,46834.23046875,46938.0546875,46938.0546875,0
2022-01-01 11:00:00+00:00,46937.52734375,46999.18359375,46882.7265625,46882.7265625,46882.7265625,0
2022-01-01 12:00:00+00:00,46857.6796875,47130.55078125,46857.6796875,47091.625,47091.625,0
2022-01-01 13:00:00+00:00,47098.09375,47167.53125,47008.5078125,47024.3515625,47024.3515625,0
2022-01-01 14:00:00+00:00,47027.88671875,47065.5546875,46941.359375,46959.97265625,46959.97265625,0
2022-01-01 15:00:00+00:00,46946.3125,47361.44921875,46939.93359375,47219.03125,47219.03125,184115200
2022-01-01 16:00:00+00:00,47220.38671875,47454.9296875,47220.38671875,47308.640625,47308.640625,0
2022-01-01 17:00:00+00:00,47307.0859375,47827.3125,47273.37109375,47730.6796875,47730.6796875,0
2022-01-01 18:00:00+00:00,47736.18359375,47750.76953125,47511.4921875,47590.328125,47590.328125,0
2022-01-01 19:00:00+00:00,47570.49609375,47604.29296875,47362.81640625,47369.0234375,47369.0234375,0
2022-01-01 20:00:00+00:00,47378.12109375,47531.65234375,47322.203125,47427.89453125,47427.89453125,0
2022-01-01 21:00:00+00:00,47440.359375,47502.13671875,47349.36328125,47382.50390625,47382.50390625,0
2022-01-01 22:00:00+00:00,47382.36328125,47475.3984375,47329.078125,47447.60546875,47447.60546875,0
2022-01-01 23:00:00+00:00,47456.23828125,47620.421875,47386.953125,47620.421875,47620.421875,122068992
2022-01-02 00:00:00+00:00,47699.15625,47702.53125,47490.75,47643.05859375,47643.05859375,65050624
2022-01-02 01:00:00+00:00,47648.68359375,47651.28125,47378.01171875,47378.01171875,47378.01171875,0
2022-01-02 02:00:00+00:00,47379.6171875,47433.921875,47337.2265625,47402.1953125,47402.1953125,65714176
2022-01-02 03:00:00+00:00,47388.26171875,47445.09765625,47330.35546875,47390.140625,47390.140625,0
2022-01-02 04:00:00+00:00,47389.4140625,47414.50390625,46891.16015625,46936.2421875,46936.2421875,199094272
2022-01-02 05:00:00+00:00,46944.6875,47043.04296875,46941.34375,47043.04296875,47043.04296875,0
2022-01-02 06:00:00+00:00,47084.93359375,47211.171875,47052.03515625,47172.6171875,47172.6171875,0
2022-01-02 07:00:00+00:00,47172.6640625,47263.62109375,47147.34375,47168.65625,47168.65625,0
2022-01-02 08:00:00+00:00,47175.50390625,47231.94921875,47072.1953125,47231.94921875,47231.94921875,0
2022-01-02 09:00:00+00:00,47236.95703125,47393.234375,47191.53125,47304.4609375,47304.4609375,260220928
2022-01-02 10:00:00+00:00,47297.015625,47358.21484375,47257.12109375,47276.77734375,47276.77734375,0
2022-01-02 11:00:00+00:00,47244.55859375,47361.48828125,47244.55859375,47260.578125,47260.578125,0
2022-01-02 12:00:00+00:00,47272.609375,47375.98828125,47122.85546875,47344.0078125,47344.0078125,182669312
2022-01-02 13:00:00+00:00,47340.30078125,47340.30078125,47163.4609375,47176.23046875,47176.23046875,0
2022-01-02 14:00:00+00:00,47173.26953125,47235.03515625,47124.01171875,47168.53515625,47168.53515625,604590080
2022-01-02 15:00:00+00:00,47161.109375,47354.421875,47126.11328125,47331.16796875,47331.16796875,0
2022-01-02 16:00:00+00:00,47333.59765625,47730.2265625,47333.59765625,47730.2265625,47730.2265625,0
2022-01-02 17:00:00+00:00,47740.9140625,47881.40625,47452.44140625,47472.98046875,47472.98046875,487456768
2022-01-02 18:00:00+00:00,47471.4609375,47471.4609375,46856.9375,47009.8515625,47009.8515625,1773977600
2022-01-02 19:00:00+00:00,47012.75,47208.01171875,46950.9453125,46997.7265625,46997.7265625,639627264
2022-01-02 20:00:00+00:00,46996.64453125,47063.08984375,46951.69140625,47050.390625,47050.390625,2777321472
2022-01-02 21:00:00+00:00,47052.828125,47152.34375,46989.66796875,47047.89453125,47047.89453125,0
2022-01-02 22:00:00+00:00,47048.48046875,47332.0859375,47048.48046875,47288.203125,47288.203125,148367360
2022-01-02 23:00:00+00:00,47296.28125,47414.3359375,47295.91015625,47344.84375,47344.84375,0
2022-01-03 00:00:00+00:00,47338.8828125,47338.8828125,47145.5859375,47177.5625,47177.5625,15276505088
2022-01-03 01:00:00+00:00,47173.953125,47173.953125,47019.51953125,47126.125,47126.125,0
2022-01-03 02:00:00+00:00,47131.10546875,47131.10546875,46939.66796875,47024.04296875,47024.04296875,443883520
2022-01-03 03:00:00+00:00,47018.8515625,47060.92578125,46810.390625,46862.2890625,46862.2890625,102170624
2022-01-03 04:00:00+00:00,46852.5390625,46934.41015625,46818.421875,46865.328125,46865.328125,0
2022-01-03 05:00:00+00:00,46863.2109375,47126.1953125,46820.12890625,47083.6328125,47083.6328125,0
2022-01-03 06:00:00+00:00,47086.08203125,47100.63671875,46988.8203125,47001.31640625,47001.31640625,0
2022-01-03 07:00:00+00:00,46960.9765625,47039.68359375,46903.2734375,47030.70703125,47030.70703125,673519616
2022-01-03 08:00:00+00:00,47042.22265625,47088.9453125,46974.0625,46977.48828125,46977.48828125,129009664
2022-01-03 09:00:00+00:00,46989.0390625,47072.1875,46832.1328125,46964.49609375,46964.49609375,2563012608
2022-01-03 10:00:00+00:00,46967.11328125,47212.375,46967.11328125,47154.6953125,47154.6953125,953528320
2022-01-03 11:00:00+00:00,47151.0078125,47369.79296875,47151.0078125,47369.79296875,47369.79296875,578039808
2022-01-03 12:00:00+00:00,47369.8125,47501.3984375,47243.09375,47243.09375,47243.09375,251484160
2022-01-03 13:00:00+00:00,47237.953125,47315.50390625,47230.87890625,47230.87890625,47230.87890625,291096576
2022-01-03 14:00:00+00:00,47187.1328125,47235.921875,46940.18359375,46948.43359375,46948.43359375,770951168
2022-01-03 15:00:00+00:00,46925.8359375,46979.921875,46716.8125,46716.8125,46716.8125,0
2022-01-03 16:00:00+00:00,46721.62890625,46765.45703125,46396.578125,46503.19140625,46503.19140625,0
2022-01-03 17:00:00+00:00,46501.67578125,46759.625,46486.76953125,46668.16015625,46668.16015625,0
2022-01-03 18:00:00+00:00,46644.765625,46708.3203125,46488.83984375,46526.640625,46526.640625,0
2022-01-03 19:00:00+00:00,46520.0078125,46641.5625,46454.51171875,46504.75390625,46504.75390625,0
2022-01-03 20:00:00+00:00,46395.80078125,46415.76171875,45842.14453125,45899.859375,45899.859375,1090951168
2022-01-03 21:00:00+00:00,45897.9453125,46189.88671875,45876.88671875,46112.375,46112.375,475514880
2022-01-03 22:00:00+00:00,46033.22265625,46371.6796875,46030.5859375,46302.62109375,46302.62109375,284489728
2022-01-04 02:00:00+00:00,46140.0703125,46220.890625,46057.1796875,46150.83203125,46150.83203125,578011136
2022-01-04 03:00:00+00:00,46147.80078125,46357.2265625,46064.18359375,46344.86328125,46344.86328125,35205120
2022-01-04 04:00:00+00:00,46337.07421875,46369.71484375,46122.41015625,46150.8984375,46150.8984375,463955968
2022-01-04 05:00:00+00:00,46140.44140625,46271.44140625,46092.7109375,46155.01953125,46155.01953125,0
2022-01-04 06:00:00+00:00,46178.734375,46366.58203125,46157.84375,46366.58203125,46366.58203125,480387072
2022-01-04 07:00:00+00:00,46364.921875,46520.62109375,46364.2421875,46490.25,46490.25,549726208
2022-01-04 08:00:00+00:00,46496.80859375,46612.78515625,46478.40625,46492.33203125,46492.33203125,829190144
2022-01-04 09:00:00+00:00,46494.37109375,46586.55859375,46368.39453125,46368.55078125,46368.55078125,0
2022-01-04 10:00:00+00:00,46369.8203125,46680.30078125,46348.109375,46676.80078125,46676.80078125,93769728
2022-01-04 11:00:00+00:00,46677.640625,46727.8984375,46646.0234375,46720.56640625,46720.56640625,0
2022-01-04 12:00:00+00:00,46720.2109375,46720.2109375,46517.10546875,46588.8125,46588.8125,0
2022-01-04 13:00:00+00:00,46602.96484375,46950.58203125,46475.77734375,46924.4375,46924.4375,969723904
2022-01-04 14:00:00+00:00,46930.74609375,47346.37109375,46849.08984375,47321.53125,47321.53125,1958604800
2022-01-04 15:00:00+00:00,47318.97265625,47406.546875,46966.52734375,46966.52734375,46966.52734375,1225805824
2022-01-04 16:00:00+00:00,46926.9609375,46926.9609375,46722.6875,46838.2109375,46838.2109375,0
2022-01-04 17:00:00+00:00,46792.34765625,46938.0,46731.078125,46731.078125,46731.078125,0
2022-01-04 18:00:00+00:00,46703.296875,46714.23046875,45830.89453125,45834.19140625,45834.19140625,3696664576
2022-01-04 19:00:00+00:00,45811.59765625,46323.75,45752.46484375,46021.13671875,46021.13671875,1627631616
2022-01-04 20:00:00+00:00,46025.08203125,46377.8125,46025.08203125,46285.3203125,46285.3203125,0
2022-01-04 21:00:00+00:00,46287.0546875,46287.0546875,46108.97265625,46239.125,46239.125,2964451328
2022-01-04 22:00:00+00:00,46232.51953125,46233.5625,46060.125,46131.2578125,46131.2578125,0
2022-01-04 23:00:00+00:00,46134.84765625,46147.41015625,45858.42578125,45926.76171875,45926.76171875,0
2022-01-05 00:00:00+00:00,45888.55078125,46268.390625,45829.6875,46268.390625,46268.390625,1838686208
2022-01-05 01:00:00+00:00,46269.8671875,46310.296875,46186.36328125,46186.36328125,46186.36328125,100335616
2022-01-05 02:00:00+00:00,46185.26171875,46370.3515625,46156.68359375,46344.4609375,46344.4609375,0
2022-01-05 03:00:00+00:00,46342.83203125,46475.03515625,46320.17578125,46425.01171875,46425.01171875,36741120
2022-01-05 04:00:00+00:00,46420.02734375,46466.234375,46377.06640625,46378.13671875,46378.13671875,1151344640
2022-01-05 05:00:00+00:00,46403.3828125,46406.9140625,46275.5390625,46332.19921875,46332.19921875,0
2022-01-05 06:00:00+00:00,46335.45703125,46445.859375,46306.9296875,46445.859375,46445.859375,0
2022-01-05 07:00:00+00:00,46447.7734375,46458.75,46381.01953125,46402.4609375,46402.4609375,0
2022-01-05 08:00:00+00:00,46401.5234375,46599.89453125,46317.49609375,46582.99609375,46582.99609375,0
2022-01-05 09:00:00+00:00,46612.69140625,46854.4453125,46597.84765625,46792.84375,46792.84375,74446848
2022-01-05 10:00:00+00:00,46796.75390625,46927.0703125,46724.0625,46786.22265625,46786.22265625,329369600
2022-01-05 11:00:00+00:00,46789.55078125,46818.0546875,46254.69921875,46266.4921875,46266.4921875,0
2022-01-05 12:00:00+00:00,46287.78125,46345.26171875,46057.9296875,46242.82421875,46242.82421875,624246784
2022-01-05 13:00:00+00:00,46242.6953125,46420.0234375,46171.26953125,46400.05078125,46400.05078125,0
2022-01-05 14:00:00+00:00,46402.4921875,46551.76171875,46271.93359375,46551.76171875,46551.76171875,0
2022-01-05 15:00:00+00:00,46690.3359375,46724.42578125,46487.828125,46589.5546875,46589.5546875,0
2022-01-05 16:00:00+00:00,46597.08984375,46619.36328125,46344.4375,46345.828125,46345.828125,0
2022-01-05 17:00:00+00:00,46350.84375,46461.0703125,46178.41796875,46192.41796875,46192.41796875,297291776
2022-01-06 00:00:00+00:00,43565.51171875,43746.0625,43429.03125,43689.9609375,43689.9609375,11414198272
2022-01-06 01:00:00+00:00,43687.6875,43748.71875,43423.53515625,43552.40625,43552.40625,317161472
2022-01-06 02:00:00+00:00,43537.88671875,43593.39453125,43307.24609375,43341.28125,43341.28125,446377984
2022-01-06 03:00:00+00:00,43323.44921875,43332.92578125,42946.09765625,42946.09765625,42946.09765625,549392384
2022-01-06 04:00:00+00:00,42918.84765625,43104.58984375,42761.45703125,43071.04296875,43071.04296875,1380364288
2022-01-06 05:00:00+00:00,43061.9375,43199.5234375,42981.10546875,43090.28125,43090.28125,877666304
2022-01-06 06:00:00+00:00,43085.04296875,43198.78515625,42988.5,43084.53125,43084.53125,495910912
2022-01-06 07:00:00+00:00,43088.703125,43249.3828125,43072.50390625,43249.3828125,43249.3828125,591630336
2022-01-06 08:00:00+00:00,43266.04296875,43266.546875,43011.8515625,43091.62890625,43091.62890625,389951488
2022-01-06 09:00:00+00:00,43089.73828125,43089.73828125,42645.5390625,42645.5390625,42645.5390625,533774336
2022-01-06 10:00:00+00:00,42647.953125,42910.88671875,42647.953125,42898.7890625,42898.7890625,600498176
2022-01-06 11:00:00+00:00,42900.18359375,42929.05078125,42767.6796875,42904.36328125,42904.36328125,41385984
2022-01-06 12:00:00+00:00,42898.30078125,42975.88671875,42732.9375,42975.88671875,42975.88671875,0
2022-01-06 13:00:00+00:00,42974.37890625,43159.5546875,42968.0390625,43158.60546875,43158.60546875,537710592
2022-01-06 14:00:00+00:00,43167.078125,43211.2734375,42971.89453125,42971.89453125,42971.89453125,87990272
2022-01-06 15:00:00+00:00,42954.890625,43026.3671875,42812.69140625,43015.50390625,43015.50390625,219709440
2022-01-06 16:00:00+00:00,42986.484375,43065.05859375,42866.22265625,42922.35546875,42922.35546875,0
2022-01-06 17:00:00+00:00,42925.40625,43161.2109375,42895.87109375,43078.87890625,43078.87890625,160088064
2022-01-06 18:00:00+00:00,43064.2734375,43341.21484375,43063.2265625,43310.06640625,43310.06640625,0
2022-01-06 19:00:00+00:00,43361.41796875,43414.7265625,43313.7421875,43393.61328125,43393.61328125,0
2022-01-07 00:00:00+00:00,43139.3984375,43152.97265625,42861.828125,42892.796875,42892.796875,0
2022-01-07 01:00:00+00:00,42863.52734375,43009.83203125,42859.76953125,42999.421875,42999.421875,0
2022-01-07 02:00:00+00:00,42997.125,42998.78125,42845.0703125,42845.0703125,42845.0703125,0
2022-01-07 03:00:00+00:00,42844.72265625,42854.76171875,41859.71875,41859.71875,41859.71875,1668397056
2022-01-07 04:00:00+00:00,41825.51171875,41890.4296875,41237.05078125,41632.14453125,41632.14453125,1782714368
2022-01-07 05:00:00+00:00,41642.68359375,41883.640625,41618.37109375,41749.93359375,41749.93359375,480376832
2022-01-07 06:00:00+00:00,41830.59765625,41835.7265625,41502.23046875,41556.09765625,41556.09765625,325990400
2022-01-07 07:00:00+00:00,41587.15625,41707.96484375,41310.78125,41707.96484375,41707.96484375,22111260672
2022-01-07 08:00:00+00:00,41715.75390625,42383.98046875,41691.07421875,42160.60546875,42160.60546875,3885756416
